id_prj,id_version,version_name,level1,level2,hist_date,hist_value,flag_adj
106,1,Version 1,Jakarta,Basketballs Shoes,2022-07-04T00:00:00.000000000Z,1366.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-07-11T00:00:00.000000000Z,1403.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-07-18T00:00:00.000000000Z,1403.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-07-25T00:00:00.000000000Z,1368.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-08-01T00:00:00.000000000Z,1403.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-08-08T00:00:00.000000000Z,1388.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-08-15T00:00:00.000000000Z,1403.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-08-22T00:00:00.000000000Z,1342.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-08-29T00:00:00.000000000Z,1196.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-09-05T00:00:00.000000000Z,1196.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-09-12T00:00:00.000000000Z,1196.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-09-19T00:00:00.000000000Z,1196.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-09-26T00:00:00.000000000Z,1196.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-10-03T00:00:00.000000000Z,1196.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-10-10T00:00:00.000000000Z,1196.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-10-17T00:00:00.000000000Z,1196.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-10-24T00:00:00.000000000Z,1196.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-10-31T00:00:00.000000000Z,1196.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-11-07T00:00:00.000000000Z,1196.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-11-14T00:00:00.000000000Z,1196.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-11-21T00:00:00.000000000Z,1196.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-11-28T00:00:00.000000000Z,1196.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-12-05T00:00:00.000000000Z,1196.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-12-12T00:00:00.000000000Z,1196.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-12-19T00:00:00.000000000Z,1196.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-12-26T00:00:00.000000000Z,1196.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2023-01-02T00:00:00.000000000Z,1196.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2023-01-09T00:00:00.000000000Z,1246.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2023-01-16T00:00:00.000000000Z,1196.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2023-01-23T00:00:00.000000000Z,1196.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2023-01-30T00:00:00.000000000Z,1403.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2023-02-06T00:00:00.000000000Z,1307.0,1
